U10512001,蘇義光,161.5 ,90.0 ,M,G4,D0001,1996/12/30,u001@gmail.com
U10512002,黃定國,169.0 ,47.0 ,M,G4,D0002,1997/01/06,u002@gmail.com
U10512003,林茂全,184.0 ,78.5 ,M,G4,D0003,1997/01/13,u003@gmail.com
U10512004,陳保川,159.5 ,61.0 ,M,G4,D0004,1997/01/20,u004@gmail.com
U10512005,李松界,178.0 ,45.0 ,M,G4,D0005,1996/01/28,u005@gmail.com
U10512006,蘇泰元,169.0 ,41.0 ,M,G4,D0006,1997/02/03,u006@gmail.com
U10512007,王克雄,150.0 ,37.0 ,M,G4,D0001,1997/02/10,u007@gmail.com
U10512008,黃中木,166.0 ,90.0 ,M,G4,D0002,1997/02/17,u008@gmail.com
U10512009,王芳元,157.0 ,54.0 ,F,G4,D0003,1997/02/24,u009@gmail.com
U10512010,郭孟鄉,164.0 ,67.0 ,M,G4,D0004,1997/03/03,u010@gmail.com
U10512011,李翔駿,161.0 ,99.0 ,M,G4,D0005,1997/03/10,u011@gmail.com
U10512012,簡麗艷,153.0 ,76.0 ,F,G4,D0006,1997/03/17,u012@gmail.com
U10512013,李麗瑕,169.5 ,66.0 ,F,G4,D0001,1997/03/24,u013@gmail.com
U10512014,莊寅竣,174.0 ,47.0 ,M,G4,D0002,1997/03/31,u014@gmail.com
U10512015,林政雄,163.0 ,62.0 ,M,G4,D0003,1997/04/07,u015@gmail.com
U10512016,陳顯良,148.0 ,46.0 ,M,G4,D0004,1997/04/14,u016@gmail.com
U10512017,鄭碧海,163.5 ,50.0 ,M,G4,D0005,1997/04/21,u017@gmail.com
U10512018,郭月來,157.5 ,52.0 ,F,G4,D0006,1997/04/28,u018@gmail.com
U10512019,莊淑寬,161.0 ,59.0 ,F,G4,D0001,1997/05/05,u019@gmail.com
U10512020,尹巧云,182.0 ,97.0 ,F,G4,D0002,1995/12/24,u020@gmail.com
U10612301,童益興,145.0 ,40.0 ,M,G3,D0003,1998/02/04,u021@gmail.com
U10612302,謝榮週,168.5 ,96.0 ,M,G3,D0004,1998/02/19,u022@gmail.com
U10612303,李英郎,161.0 ,98.0 ,M,G3,D0005,1998/03/06,u023@gmail.com
U10612304,邱美智,164.0 ,89.0 ,F,G3,D0006,1998/03/21,u024@gmail.com
U10612305,李美錦,180.0 ,42.0 ,F,G3,D0001,1998/04/05,u025@gmail.com
U10612306,林進松,150.0 ,60.0 ,M,G3,D0002,1998/04/20,u026@gmail.com
U10612307,林明賢,171.0 ,94.0 ,M,G3,D0003,1997/05/05,u027@gmail.com
U10612308,林黃太,168.0 ,46.0 ,M,G3,D0004,1998/05/20,u028@gmail.com
U10612309,賴月英,180.0 ,72.0 ,F,G3,D0005,1998/06/04,u029@gmail.com
U10612310,萬家安,166.0 ,85.0 ,M,G3,D0006,1998/06/19,u030@gmail.com
U10612311,胡有信,167.5 ,43.0 ,M,G3,D0001,1998/07/04,u031@gmail.com
U10612312,吳淑慧,176.0 ,49.0 ,F,G3,D0002,1998/07/19,u032@gmail.com
U10612313,顏麒麟,170.0 ,79.0 ,M,G3,D0003,1998/08/03,u033@gmail.com
U10612314,孔繁偉,165.0 ,51.0 ,M,G3,D0004,1998/08/18,u034@gmail.com
U10612315,唐于湘,181.0 ,65.0 ,F,G3,D0005,1998/09/02,u035@gmail.com
U10612316,林志明,164.0 ,85.0 ,M,G3,D0006,1998/09/17,u036@gmail.com
U10612317,吳玉金,170.0 ,49.0 ,F,G3,D0001,1998/10/02,u037@gmail.com
U10612318,鐘肯仁,172.0 ,92.0 ,M,G3,D0002,1998/10/17,u038@gmail.com
U10612319,蕭哲煌,158.0 ,65.0 ,M,G3,D0003,1998/11/01,u039@gmail.com
U10612320,朱水河,160.5 ,63.0 ,M,G3,D0004,1996/12/15,u040@gmail.com
U10712501,林智亮,164.0 ,59.0 ,M,G2,D0005,1999/03/14,u041@gmail.com
